n_atoms,log10_N,assembly_index
11,7.0871,8
11,7.0871,9
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,8
11,7.0871,9
11,7.0871,9
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,9
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,8
11,7.0871,10
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,10
11,7.0871,5
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,9
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,5
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,9
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,5
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,5
11,7.0871,9
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,10
11,7.0871,9
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,8
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,6
11,7.0871,7
11,7.0871,9
11,7.0871,6
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,8
11,7.0871,7
11,7.0871,8
11,7.0871,6
11,7.0871,5
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,8
11,7.0871,9
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,6
11,7.0871,8
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,5
11,7.0871,7
11,7.0871,5
11,7.0871,8
11,7.0871,6
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,7
11,7.0871,6
11,7.0871,6
11,7.0871,9
11,7.0871,8
11,7.0871,10
11,7.0871,6
11,7.0871,8
